marea_id,number_of_calas,total_catch
147626,3,105
145442,1,150
148027,4,120
148104,7,400
147340,4,400
146129,1,45
146799,2,280
145024,3,570
147277,6,250
147858,3,50
145070,2,80
146152,2,25
145156,4,300
147231,5,230
146235,3,110
146544,1,60
145843,2,200
146089,1,20
144761,3,130
145216,1,200
147171,1,0
146839,2,60
145548,3,130
148167,2,40
145110,2,30
147772,2,180
144569,3,80
145651,7,300
147818,2,15
144177,1,11
144423,4,380
145505,1,50
144964,1,80
147423,5,300
148751,3,150
148505,4,110
147964,1,140
144698,2,110
145717,2,260
147211,3,400
146215,2,330
146713,2,80
147709,1,10
147924,3,50
144984,3,0
147234,5,300
147403,3,150
148230,2,70
148708,7,390
146003,1,45
146384,2,210
144529,4,380
147191,1,30
145027,2,140
146693,3,250
148442,1,20
144463,2,150
144506,1,20
145004,3,120
148465,2,80
146670,1,20
147168,2,70
144486,1,320
144655,2,85
147732,7,600
147901,1,15
144443,2,70
144941,1,100
147360,5,270
146862,6,220
148273,1,20
144549,6,300
145047,1,380
147254,2,80
146258,4,105
146756,1,40
147881,2,110
147752,3,440
144157,1,119
146066,2,110
148485,1,10
147148,4,300
145525,3,80
146023,3,140
147944,3,380
145631,1,10
146172,2,15
147297,7,300
145133,1,15
147838,2,40
147795,2,60
144400,2,130
146564,1,30
145482,3,70
146038,1,40
147366,3,300
146702,2,270
148030,1,20
147389,2,90
146725,1,20
148053,3,65
144664,1,105
145328,3,300
145992,1,150
146656,2,50
146015,2,50
147343,1,15
145351,2,30
146679,1,20
147535,3,230
146848,2,40
146184,2,50
148740,4,310
148076,3,300
144123,2,30
144372,3,190
145451,2,150
147953,4,330
144764,1,95
145059,3,75
147266,5,400
146387,3,300
147074,5,390
146579,2,60
145497,1,190
146825,1,60
147907,2,80
144810,3,150
146433,1,70
145892,3,100
147220,2,65
146138,2,90
147761,2,300
144618,2,60
144867,3,160
146533,2,45
144180,3,270
145846,2,110
145305,2,220
144913,3,210
144326,4,150
145159,1,370
146241,3,95
144226,3,35
144472,1,110
145013,2,80
145554,1,150
146453,3,100
148445,5,120
146287,2,18
146951,2,35
144223,1,105
146430,2,30
146928,2,100
145079,6,350
144246,4,310
144415,1,25
146261,3,60
144956,2,20
147286,3,180
145620,2,85
147784,3,110
146971,2,280
147635,2,30
145912,1,30
148494,2,50
146994,1,45
147904,2,50
147827,2,80
147263,1,90
148468,1,25
147804,2,70
147927,2,60
144538,3,210
144787,3,100
145036,2,30
145285,1,85
148617,1,20
146553,1,130
145428,1,25
147051,3,110
148096,2,200
146161,3,55
147243,1,20
146410,2,80
146802,1,75
147884,2,80
144203,2,300
144452,2,200
148033,4,180
145869,1,25
146118,3,70
144346,2,400
145969,3,85
146510,1,120
148133,2,100
144744,1,25
144495,2,200
145826,4,250
145577,1,150
146659,1,70
144644,2,115
144595,3,250
145185,3,95
146218,1,80
146868,3,290
148196,2,60
147864,1,65
146891,2,350
147887,3,60
144661,2,100
144993,3,120
145657,3,105
147578,1,50
147910,4,160
144638,1,40
144970,2,100
148056,7,500
144120,3,33
145371,4,250
145448,1,40
146699,2,70
144684,3,350
144143,2,24
146350,3,130
146135,3,160
146676,1,20
148737,5,290
144830,2,95
147409,4,250
146327,2,330
147655,5,315
146181,1,5
147386,3,320
146304,3,240
146845,2,45
144621,2,110
148451,3,75
146198,1,20
