Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
131786,CHIMBOTE,TASA 220,Tradicional,98.0,1,9.05,20.34,2018,2018-I
131788,MALABRIGO,TASA 23,Estanca,98.0,2,16.97,20.8,2018,2018-I
131789,SUPE,TASA 21,Estanca,12.0,2,9.65,16.28,2018,2018-I
131791,MALABRIGO,TASA 41,Frio,72.0,2,15.7,16.15,2018,2018-I
131792,SAMANCO,TASA 218,Estanca,85.0,3,18.42,29.79,2018,2018-I
131793,MALABRIGO,TASA 36,Estanca,89.0,3,20.17,29.07,2018,2018-I
131794,VEGUETA,TASA 38,Tradicional,29.0,2,20.22,27.15,2018,2018-I
131795,VEGUETA,TASA 56,Frio,78.0,4,28.42,20.86,2018,2018-I
131797,PISCO NORTE,TASA 413,Tradicional,5.0,1,13.05,19.04,2018,2018-I
131798,PISCO NORTE,TASA 416,Tradicional,20.0,2,12.27,23.78,2018,2018-I
131799,PISCO NORTE,TASA 43,Frio,20.0,3,15.75,18.9,2018,2018-I
131800,MALABRIGO,TASA 35,Estanca,85.0,2,15.07,17.15,2018,2018-I
131802,PISCO NORTE,TASA 415,Estanca,19.0,2,11.65,18.23,2018,2018-I
131803,PISCO NORTE,TASA 418,Tradicional,3.0,1,9.52,22.72,2018,2018-I
131805,CALLAO,TASA 58,Frio,73.0,5,30.45,19.65,2018,2018-I
131806,SUPE,TASA 37,Estanca,7.0,2,9.1,12.07,2018,2018-I
131814,CALLAO,TASA 45,Frio,39.0,4,26.55,16.3,2018,2018-I
131815,MALABRIGO,TASA 55,Frio,69.0,3,18.98,15.96,2018,2018-I
131816,CALLAO,TASA 51,Frio,74.0,4,28.45,15.62,2018,2018-I
131841,MALABRIGO,TASA 42,Frio,77.0,2,16.48,16.25,2018,2018-I
131842,CALLAO,TASA 61,Frio,12.0,2,10.62,15.01,2018,2018-I
131843,MALABRIGO,TASA 419,Frio,75.0,2,19.07,12.89,2018,2018-I
131844,SUPE,TASA 314,Tradicional,93.0,3,18.72,22.34,2018,2018-I
131845,SUPE,TASA 310,Tradicional,85.0,3,17.35,18.57,2018,2018-I
131846,VEGUETA,TASA 34,Estanca,90.0,2,19.35,27.97,2018,2018-I
131847,VEGUETA,TASA 21,Estanca,92.0,1,17.72,29.53,2018,2018-I
131848,SUPE,TASA 210,Tradicional,90.0,2,19.28,31.9,2018,2018-I
131849,PISCO SUR,TASA 411,Tradicional,53.0,2,12.02,19.58,2018,2018-I
131850,PISCO SUR,TASA 420,Tradicional,15.0,2,15.62,22.35,2018,2018-I
131851,MALABRIGO,TASA 37,Estanca,82.0,2,17.52,25.3,2018,2018-I
131852,PISCO SUR,TASA 418,Tradicional,39.0,2,11.43,25.17,2018,2018-I
131853,PISCO SUR,TASA 414,Estanca,19.0,2,13.4,24.46,2018,2018-I
131854,PISCO SUR,TASA 412,Tradicional,24.0,1,16.03,21.48,2018,2018-I
131855,PISCO SUR,TASA 415,Estanca,9.0,2,13.27,23.78,2018,2018-I
131858,CHIMBOTE,TASA 17,Tradicional,96.0,1,11.43,19.0,2018,2018-I
131859,PISCO SUR,TASA 413,Tradicional,59.0,1,12.85,27.94,2018,2018-I
131860,PISCO SUR,TASA 416,Tradicional,13.0,2,11.28,23.81,2018,2018-I
131861,MALABRIGO,TASA 426,Tradicional,27.0,2,10.75,20.87,2018,2018-I
131862,MALABRIGO,TASA 71,Frio,59.0,4,19.27,15.4,2018,2018-I
131863,PISCO SUR,TASA 417,Tradicional,13.0,1,12.92,21.06,2018,2018-I
131864,CALLAO,TASA 425,Frio,19.0,2,11.77,15.64,2018,2018-I
131865,CALLAO,TASA 43,Frio,12.0,2,11.68,16.45,2018,2018-I
131867,MALABRIGO,TASA 54,Frio,72.0,6,29.37,15.38,2018,2018-I
131868,MALABRIGO,TASA 53,Frio,72.0,1,14.25,15.51,2018,2018-I
131869,CHIMBOTE,TASA 31,Tradicional,80.0,2,11.82,22.11,2018,2018-I
131871,VEGUETA,TASA 315,Tradicional,94.0,3,17.15,25.3,2018,2018-I
131872,MALABRIGO,TASA 57,Frio,76.0,5,26.08,18.11,2018,2018-I
131878,SUPE,TASA 22,Estanca,83.0,1,14.97,30.16,2018,2018-I
131879,MALABRIGO,TASA 36,Estanca,20.0,2,8.28,19.04,2018,2018-I
131880,VEGUETA,TASA 38,Tradicional,55.0,3,16.82,18.52,2018,2018-I
131883,VEGUETA,TASA 32,Tradicional,15.0,2,9.45,15.45,2018,2018-I
131905,MALABRIGO,TASA 41,Frio,71.0,5,22.17,16.13,2018,2018-I
131910,SUPE,TASA 424,Tradicional,87.0,5,18.02,30.9,2018,2018-I
131911,MALABRIGO,TASA 427,Frio,80.0,2,18.05,18.16,2018,2018-I
131915,CALLAO,TASA 52,Frio,62.0,6,36.05,23.51,2018,2018-I
131916,VEGUETA,TASA 425,Frio,68.0,4,49.18,19.56,2018,2018-I
131917,VEGUETA,TASA 43,Frio,71.0,3,54.27,24.39,2018,2018-I
131918,CALLAO,TASA 61,Frio,51.0,4,28.75,16.26,2018,2018-I
131919,SUPE,TASA 44,Frio,37.0,4,39.35,23.78,2018,2018-I
131921,VEGUETA,TASA 426,Tradicional,76.0,3,17.05,18.74,2018,2018-I
131922,VEGUETA,TASA 36,Estanca,92.0,3,21.72,27.65,2018,2018-I
131923,CHIMBOTE,TASA 32,Tradicional,7.0,1,9.85,20.13,2018,2018-I
131930,VEGUETA,TASA 45,Frio,87.0,3,32.87,24.04,2018,2018-I
131931,SAMANCO,TASA 35,Estanca,45.0,1,11.73,18.86,2018,2018-I
131932,MALABRIGO,TASA 42,Frio,74.0,5,21.33,19.41,2018,2018-I
131933,PISCO SUR,TASA 418,Tradicional,13.0,2,10.58,23.41,2018,2018-I
131934,PISCO SUR,TASA 411,Tradicional,11.0,3,14.63,23.53,2018,2018-I
131935,PISCO SUR,TASA 416,Tradicional,17.0,4,13.5,22.72,2018,2018-I
131936,PISCO SUR,TASA 417,Tradicional,30.0,3,13.07,24.57,2018,2018-I
131937,PISCO SUR,TASA 413,Tradicional,13.0,2,10.27,22.78,2018,2018-I
131938,PISCO SUR,TASA 420,Tradicional,23.0,2,10.65,21.89,2018,2018-I
131939,PISCO SUR,TASA 415,Estanca,20.0,3,13.13,22.5,2018,2018-I
131941,CHIMBOTE,TASA 17,Tradicional,94.0,2,13.2,22.02,2018,2018-I
131943,CHIMBOTE,TASA 220,Tradicional,96.0,3,10.98,17.91,2018,2018-I
131944,CHIMBOTE,TASA 31,Tradicional,82.0,2,15.55,24.14,2018,2018-I
131945,VEGUETA,TASA 55,Frio,57.0,4,24.03,17.21,2018,2018-I
131946,VEGUETA,TASA 23,Estanca,86.0,4,30.55,44.42,2018,2018-I
131948,SUPE,TASA 58,Frio,27.0,4,24.05,21.87,2018,2018-I
131949,PISCO SUR,TASA 412,Tradicional,6.0,1,7.17,20.26,2018,2018-I
131950,PISCO SUR,TASA 414,Estanca,38.0,3,12.63,22.3,2018,2018-I
131954,MALABRIGO,TASA 51,Frio,69.0,2,15.5,16.87,2018,2018-I
131955,SUPE,TASA 310,Tradicional,79.0,3,18.5,24.78,2018,2018-I
131962,SUPE,TASA 314,Tradicional,48.0,2,15.25,19.64,2018,2018-I
131979,MALABRIGO,TASA 59,Frio,76.0,3,11.18,16.68,2018,2018-I
131982,VEGUETA,TASA 21,Estanca,75.0,4,27.53,33.15,2018,2018-I
131983,MALABRIGO,TASA 53,Frio,55.0,2,9.57,15.1,2018,2018-I
131993,MALABRIGO,TASA 419,Frio,23.0,2,18.67,14.07,2018,2018-I
131994,VEGUETA,TASA 37,Estanca,78.0,2,27.25,45.89,2018,2018-I
132001,MALABRIGO,TASA 71,Frio,61.0,2,14.38,18.44,2018,2018-I
132002,PISCO NORTE,TASA 411,Tradicional,85.0,3,12.78,14.51,2018,2018-I
132003,PISCO SUR,TASA 412,Tradicional,89.0,2,10.53,16.4,2018,2018-I
132004,PISCO SUR,TASA 413,Tradicional,44.0,3,13.25,22.1,2018,2018-I
132005,PISCO SUR,TASA 414,Estanca,56.0,4,14.65,17.31,2018,2018-I
132007,PISCO NORTE,TASA 416,Tradicional,45.0,3,11.62,26.24,2018,2018-I
132008,PISCO SUR,TASA 417,Tradicional,52.0,4,16.45,21.56,2018,2018-I
132009,PISCO NORTE,TASA 418,Tradicional,51.0,4,15.33,25.97,2018,2018-I
132010,PISCO SUR,TASA 420,Tradicional,36.0,3,12.95,25.23,2018,2018-I
132011,CHIMBOTE,TASA 17,Tradicional,96.0,3,17.37,23.14,2018,2018-I
132012,CHIMBOTE,TASA 111,Tradicional,92.0,3,14.28,22.64,2018,2018-I
132013,MALABRIGO,TASA 57,Frio,20.0,2,17.98,17.87,2018,2018-I
132014,MALABRIGO,TASA 427,Frio,20.0,3,19.07,15.8,2018,2018-I
132015,CHIMBOTE,TASA 56,Frio,16.0,1,9.17,21.29,2018,2018-I
