Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
130003,ILO,TASA 17,Tradicional,9,1,16.65,31.01,2018,2018-II
130004,ATICO,TASA 45,Frio,10,2,13.35,19.43,2018,2018-II
130005,ATICO,TASA 36,Estanca,17,2,8.98,19.52,2018,2018-II
130006,ILO,TASA 418,Tradicional,5,1,9.73,21.92,2018,2018-II
130007,MATARANI,TASA 220,Tradicional,15,1,8.83,19.71,2018,2018-II
130009,ATICO,TASA 43,Frio,9,2,15.17,15.04,2018,2018-II
130023,ILO,TASA 426,Tradicional,32,2,14.72,21.03,2018,2018-II
130024,ILO,TASA 37,Estanca,26,2,18.4,17.84,2018,2018-II
130041,MATARANI,TASA 220,Tradicional,9,1,6.17,18.29,2018,2018-II
130043,MATARANI,TASA 411,Tradicional,4,1,3.8,18.16,2018,2018-II
130044,MATARANI,TASA 21,Estanca,18,2,8.85,17.72,2018,2018-II
130045,MATARANI,TASA 210,Tradicional,6,1,7.63,18.84,2018,2018-II
130046,ILO,TASA 36,Estanca,15,1,10.7,19.66,2018,2018-II
130047,ILO,TASA 425,Frio,43,3,30.68,16.23,2018,2018-II
130048,ILO,TASA 44,Frio,24,2,31.13,21.6,2018,2018-II
130049,MATARANI,TASA 23,Estanca,5,1,4.07,18.38,2018,2018-II
130050,MATARANI,TASA 17,Tradicional,26,2,7.6,18.37,2018,2018-II
130052,ILO,TASA 34,Estanca,11,1,13.65,23.72,2018,2018-II
130062,ATICO,TASA 38,Tradicional,2,1,8.42,19.63,2018,2018-II
130063,ILO,TASA 43,Frio,8,1,10.07,20.99,2018,2018-II
130064,MATARANI,TASA 22,Estanca,12,1,3.62,19.78,2018,2018-II
130076,ILO,TASA 32,Tradicional,7,1,8.55,17.57,2018,2018-II
130091,ILO,TASA 17,Tradicional,7,1,13.03,21.93,2018,2018-II
130092,ATICO,TASA 411,Tradicional,9,1,7.3,14.96,2018,2018-II
130093,ILO,TASA 210,Tradicional,13,1,8.18,19.18,2018,2018-II
130094,ILO,TASA 220,Tradicional,24,2,15.87,39.5,2018,2018-II
130095,ILO,TASA 45,Frio,20,2,37.73,18.74,2018,2018-II
130096,ILO,TASA 35,Estanca,6,1,9.05,17.23,2018,2018-II
130097,ILO,TASA 21,Estanca,6,1,14.72,21.69,2018,2018-II
130098,ILO,TASA 22,Estanca,6,1,9.08,19.87,2018,2018-II
130099,ATICO,TASA 417,Tradicional,1,1,6.53,14.11,2018,2018-II
130100,ILO,TASA 426,Tradicional,5,1,11.62,20.78,2018,2018-II
130102,ILO,TASA 418,Tradicional,6,1,6.18,19.16,2018,2018-II
130103,ILO,TASA 37,Estanca,10,1,11.73,17.57,2018,2018-II
130104,ILO,TASA 43,Frio,20,2,37.52,23.54,2018,2018-II
130105,ILO,TASA 416,Tradicional,7,1,9.92,18.72,2018,2018-II
130106,ILO,TASA 23,Estanca,5,1,13.02,28.07,2018,2018-II
130720,MATARANI,TASA 426,Tradicional,14,2,16.58,27.8,2018,2018-II
130721,MATARANI,TASA 35,Estanca,26,2,10.3,20.99,2018,2018-II
130722,MATARANI,TASA 22,Estanca,5,1,10.0,18.14,2018,2018-II
130723,MATARANI,TASA 411,Tradicional,59,3,16.12,28.61,2018,2018-II
130724,MATARANI,TASA 36,Estanca,27,2,12.67,27.24,2018,2018-II
130726,MATARANI,TASA 17,Tradicional,46,2,16.68,34.54,2018,2018-II
130727,MATARANI,TASA 210,Tradicional,13,2,16.98,33.1,2018,2018-II
131294,VEGUETA,TASA 413,Tradicional,18,2,11.12,18.59,2018,2018-II
131295,SUPE,TASA 412,Tradicional,65,3,15.03,17.31,2018,2018-II
131297,SAMANCO,TASA 58,Frio,31,4,34.58,27.17,2018,2018-II
131301,PISCO NORTE,TASA 45,Frio,34,2,11.47,25.95,2018,2018-II
131303,PISCO SUR,TASA 44,Frio,21,2,8.68,17.95,2018,2018-II
131307,PISCO NORTE,TASA 425,Frio,54,3,9.92,24.3,2018,2018-II
131308,PISCO NORTE,TASA 418,Tradicional,37,2,8.9,20.26,2018,2018-II
131311,PISCO SUR,TASA 61,Frio,46,4,14.3,19.14,2018,2018-II
131313,PISCO NORTE,TASA 414,Estanca,53,4,14.9,22.31,2018,2018-II
131318,PISCO NORTE,TASA 415,Estanca,19,2,9.07,19.42,2018,2018-II
131323,PISCO NORTE,TASA 420,Tradicional,63,3,14.32,27.96,2018,2018-II
131327,SUPE,TASA 417,Tradicional,57,3,17.72,23.89,2018,2018-II
131334,VEGUETA,TASA 21,Estanca,81,3,16.85,22.34,2018,2018-II
131344,VEGUETA,TASA 220,Tradicional,54,2,22.63,32.75,2018,2018-II
131345,CALLAO,TASA 31,Tradicional,47,3,13.92,20.05,2018,2018-II
131346,CALLAO,TASA 22,Estanca,28,3,10.43,17.94,2018,2018-II
131347,VEGUETA,TASA 111,Tradicional,27,2,15.32,30.07,2018,2018-II
131348,CALLAO,TASA 314,Tradicional,27,3,27.83,15.43,2018,2018-II
131349,CALLAO,TASA 310,Tradicional,40,2,10.25,14.92,2018,2018-II
131350,PISCO SUR,TASA 411,Tradicional,16,2,9.23,19.82,2018,2018-II
131351,PISCO SUR,TASA 43,Frio,25,2,13.95,21.06,2018,2018-II
131352,PISCO SUR,TASA 416,Tradicional,19,2,10.25,24.41,2018,2018-II
131353,CHIMBOTE,TASA 315,Tradicional,95,2,12.83,21.15,2018,2018-II
131354,VEGUETA,TASA 210,Tradicional,50,2,19.73,28.19,2018,2018-II
131355,SUPE,TASA 56,Frio,17,3,14.2,13.95,2018,2018-II
131356,SUPE,TASA 419,Frio,49,2,13.42,16.71,2018,2018-II
131357,CHIMBOTE,TASA 59,Frio,31,1,6.45,19.32,2018,2018-II
131358,CALLAO,TASA 37,Estanca,57,3,14.87,16.16,2018,2018-II
131359,VEGUETA,TASA 34,Estanca,20,2,17.08,24.25,2018,2018-II
131360,VEGUETA,TASA 35,Estanca,62,1,17.92,31.0,2018,2018-II
131361,CALLAO,TASA 32,Tradicional,40,2,10.72,18.72,2018,2018-II
131362,SUPE,TASA 52,Frio,39,3,9.18,14.46,2018,2018-II
131363,SUPE,TASA 51,Frio,22,3,10.7,16.36,2018,2018-II
131365,SAMANCO,TASA 54,Frio,28,2,11.2,16.8,2018,2018-II
131366,CHIMBOTE,TASA 218,Estanca,69,1,10.0,20.46,2018,2018-II
131367,VEGUETA,TASA 17,Tradicional,72,2,14.58,20.83,2018,2018-II
131368,CHIMBOTE,TASA 427,Frio,48,3,16.8,21.42,2018,2018-II
131369,SUPE,TASA 55,Frio,18,2,10.62,16.05,2018,2018-II
131370,VEGUETA,TASA 23,Estanca,7,1,11.02,21.14,2018,2018-II
131371,CHIMBOTE,TASA 424,Tradicional,16,2,16.12,23.0,2018,2018-II
131377,CHIMBOTE,TASA 42,Frio,53,2,13.6,20.1,2018,2018-II
131378,CHIMBOTE,TASA 41,Frio,67,3,18.72,19.42,2018,2018-II
131390,CHIMBOTE,TASA 53,Frio,27,4,30.3,21.05,2018,2018-II
131401,VEGUETA,TASA 426,Tradicional,23,2,17.72,33.1,2018,2018-II
131402,VEGUETA,TASA 38,Tradicional,22,2,8.72,18.47,2018,2018-II
131403,VEGUETA,TASA 36,Estanca,19,1,11.47,22.57,2018,2018-II
131404,VEGUETA,TASA 71,Frio,26,2,10.23,20.71,2018,2018-II
131419,MALABRIGO,TASA 57,Frio,71,2,16.53,18.21,2018,2018-II
131421,SAMANCO,TASA 52,Frio,72,4,29.28,16.57,2018,2018-II
131423,PISCO NORTE,TASA 310,Tradicional,32,1,11.5,25.29,2018,2018-II
131426,CHIMBOTE,TASA 31,Tradicional,65,2,10.45,21.89,2018,2018-II
131427,PISCO SUR,TASA 418,Tradicional,56,3,18.07,21.36,2018,2018-II
131428,PISCO NORTE,TASA 425,Frio,65,1,9.68,16.21,2018,2018-II
131429,PISCO SUR,TASA 415,Estanca,27,2,15.27,18.13,2018,2018-II
131430,PISCO SUR,TASA 413,Tradicional,5,1,12.25,24.18,2018,2018-II
131431,VEGUETA,TASA 38,Tradicional,84,2,9.72,15.68,2018,2018-II
131432,PISCO SUR,TASA 45,Frio,80,2,11.9,15.78,2018,2018-II
131433,SUPE,TASA 36,Estanca,57,3,19.32,23.76,2018,2018-II
131434,VEGUETA,TASA 17,Tradicional,61,3,17.92,27.08,2018,2018-II
131435,SUPE,TASA 23,Estanca,59,3,14.43,15.94,2018,2018-II
131436,SUPE,TASA 34,Estanca,89,3,14.92,27.93,2018,2018-II
131437,PISCO SUR,TASA 411,Tradicional,83,2,15.6,19.51,2018,2018-II
131438,SUPE,TASA 56,Frio,65,6,43.6,17.49,2018,2018-II
131439,PISCO SUR,TASA 44,Frio,59,3,18.95,21.36,2018,2018-II
131441,PISCO NORTE,TASA 416,Tradicional,72,3,14.72,19.38,2018,2018-II
131442,PISCO SUR,TASA 43,Frio,74,2,10.95,20.38,2018,2018-II
131443,CHIMBOTE,TASA 59,Frio,34,4,12.37,16.46,2018,2018-II
131444,MALABRIGO,TASA 71,Frio,64,3,17.65,19.47,2018,2018-II
131446,MALABRIGO,TASA 54,Frio,70,4,16.92,15.8,2018,2018-II
131449,PISCO NORTE,TASA 414,Estanca,71,2,11.75,19.86,2018,2018-II
131450,PISCO SUR,TASA 412,Tradicional,18,2,13.0,20.18,2018,2018-II
131452,SUPE,TASA 21,Estanca,40,2,13.35,14.66,2018,2018-II
131453,VEGUETA,TASA 111,Tradicional,39,1,7.5,20.53,2018,2018-II
131454,VEGUETA,TASA 417,Tradicional,29,2,8.17,21.64,2018,2018-II
131455,SAMANCO,TASA 427,Frio,65,2,7.52,15.93,2018,2018-II
131456,SUPE,TASA 35,Estanca,37,2,10.02,15.27,2018,2018-II
131457,SUPE,TASA 32,Tradicional,25,2,14.17,21.6,2018,2018-II
131459,SUPE,TASA 210,Tradicional,30,1,6.4,17.29,2018,2018-II
131460,CHIMBOTE,TASA 42,Frio,41,1,5.83,14.88,2018,2018-II
131461,SAMANCO,TASA 424,Tradicional,87,3,9.82,23.57,2018,2018-II
131462,MALABRIGO,TASA 58,Frio,68,5,15.58,20.35,2018,2018-II
131464,PISCO NORTE,TASA 61,Frio,53,2,8.85,17.89,2018,2018-II
131467,SUPE,TASA 220,Tradicional,44,1,5.05,20.48,2018,2018-II
131469,SUPE,TASA 426,Tradicional,10,1,5.9,16.99,2018,2018-II
131478,VEGUETA,TASA 37,Estanca,15,1,10.12,19.8,2018,2018-II
131489,SUPE,TASA 22,Estanca,50,2,16.63,25.02,2018,2018-II
131503,CHIMBOTE,TASA 38,Tradicional,50,2,8.3,23.7,2018,2018-II
131504,PISCO SUR,TASA 417,Tradicional,38,2,12.55,28.81,2018,2018-II
131505,VEGUETA,TASA 37,Estanca,5,1,16.02,29.62,2018,2018-II
131510,PISCO SUR,TASA 43,Frio,30,4,17.78,23.14,2018,2018-II
131511,PISCO NORTE,TASA 61,Frio,13,1,12.03,16.77,2018,2018-II
131512,PISCO NORTE,TASA 425,Frio,12,1,11.2,18.87,2018,2018-II
131513,VEGUETA,TASA 34,Estanca,15,1,5.05,14.36,2018,2018-II
131515,SAMANCO,TASA 35,Estanca,72,1,9.8,23.29,2018,2018-II
131516,VEGUETA,TASA 220,Tradicional,15,1,17.32,32.14,2018,2018-II
131517,CHIMBOTE,TASA 426,Tradicional,79,2,15.9,23.41,2018,2018-II
131518,SUPE,TASA 41,Frio,45,3,22.07,19.65,2018,2018-II
131519,CHIMBOTE,TASA 427,Frio,76,3,8.72,17.8,2018,2018-II
131520,CHIMBOTE,TASA 424,Tradicional,39,2,8.97,18.24,2018,2018-II
131522,CHIMBOTE,TASA 315,Tradicional,97,3,12.57,23.45,2018,2018-II
131523,MALABRIGO,TASA 53,Frio,59,2,10.58,16.95,2018,2018-II
131526,CALLAO,TASA 415,Estanca,46,3,12.5,16.48,2018,2018-II
131527,PISCO SUR,TASA 45,Frio,9,1,9.38,19.03,2018,2018-II
131528,CHIMBOTE,TASA 218,Estanca,94,3,16.57,25.34,2018,2018-II
131530,SUPE,TASA 36,Estanca,28,2,14.12,26.4,2018,2018-II
131531,VEGUETA,TASA 21,Estanca,6,1,14.07,26.53,2018,2018-II
131534,SAMANCO,TASA 59,Frio,63,2,15.25,17.23,2018,2018-II
131535,CALLAO,TASA 411,Tradicional,26,3,17.7,23.28,2018,2018-II
131536,PISCO SUR,TASA 414,Estanca,7,1,10.17,26.14,2018,2018-II
131537,VEGUETA,TASA 32,Tradicional,10,1,15.08,28.53,2018,2018-II
131538,PISCO NORTE,TASA 416,Tradicional,6,1,9.92,23.76,2018,2018-II
