Marea,Planta,Embarcacion,Bodega,% Llenado,TDC-Desc,TVN,año,temporada_año,# Calas
144405,CHIMBOTE,TERESA,Tradicional,30.0,3.0,20.59,2019,2019-I,1
144401,CHIMBOTE,ROSA MARIA MS 1,Tradicional,100.0,6.0,19.89,2019,2019-I,1
144410,CHIMBOTE,EL MESIAS,Tradicional,10.0,7.0,18.36,2019,2019-I,1
144386,CHIMBOTE,TASA 58,Frio,56.00000000000001,16.0,24.64,2019,2019-I,4
144338,CHIMBOTE,TASA 41,Frio,17.0,14.0,18.39,2019,2019-I,3
144347,CHIMBOTE,TASA 419,Frio,30.0,14.0,20.25,2019,2019-I,3
144275,CHIMBOTE,TASA 57,Frio,14.000000000000002,34.0,25.88,2019,2019-I,3
144408,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,101.0,9.0,23.73,2019,2019-I,2
144402,CHIMBOTE,ROSA MARIA MS 4,Tradicional,67.0,8.0,22.08,2019,2019-I,2
144414,CHIMBOTE,BENDICION DEL SEÑOR,Tradicional,37.0,11.0,18.15,2019,2019-I,4
144407,CHIMBOTE,PALMAR-2,Tradicional,16.0,6.0,17.15,2019,2019-I,1
144336,SAMANCO,TASA 51,Frio,24.0,14.0,22.47,2019,2019-I,3
144399,SAMANCO,MACABI 5,Tradicional,47.0,12.0,20.62,2019,2019-I,3
144400,SAMANCO,MACABI 10,Tradicional,42.0,7.0,19.38,2019,2019-I,2
144397,SAMANCO,MACABI 9,Tradicional,67.0,9.0,20.66,2019,2019-I,3
144398,SAMANCO,MACABI 1,Tradicional,41.0,6.0,22.25,2019,2019-I,2
144355,SUPE,TASA 34,Tradicional,23.0,12.0,18.32,2019,2019-I,1
144375,SUPE,TASA 35,Tradicional,20.0,12.0,25.16,2019,2019-I,1
144367,SUPE,TASA 220,Tradicional,10.0,12.0,16.96,2019,2019-I,1
144354,SUPE,TASA 315,Tradicional,17.0,14.0,22.02,2019,2019-I,2
144360,SUPE,TASA 31,Tradicional,19.0,14.0,22.73,2019,2019-I,2
144385,SUPE,TASA 32,Tradicional,22.0,13.0,29.18,2019,2019-I,2
144374,SUPE,TASA 22,Tradicional,18.0,12.0,22.74,2019,2019-I,3
144372,SUPE,TASA 38,Tradicional,49.0,12.0,21.04,2019,2019-I,3
144387,SUPE,TASA 37,Tradicional,40.0,10.0,21.62,2019,2019-I,2
144373,SUPE,TASA 310,Tradicional,45.0,11.0,27.18,2019,2019-I,3
144326,SUPE,TASA 61,Frio,23.0,28.0,19.11,2019,2019-I,4
144350,SUPE,TASA 21,Tradicional,63.0,7.0,20.77,2019,2019-I,2
144359,SUPE,TASA 218,Tradicional,35.0,10.0,21.84,2019,2019-I,1
144357,VEGUETA,TASA 210,Tradicional,27.0,12.0,25.45,2019,2019-I,3
144370,VEGUETA,AURELIA,Tradicional,43.0,12.0,21.71,2019,2019-I,1
144272,VEGUETA,TASA 427,Frio,33.0,32.0,19.18,2019,2019-I,5
144393,VEGUETA,TASA 17,Tradicional,63.0,9.0,18.23,2019,2019-I,2
144363,VEGUETA,SANTA ROSA,Tradicional,11.0,7.0,21.39,2019,2019-I,1
144349,VEGUETA,TASA 23,Tradicional,16.0,8.0,16.25,2019,2019-I,2
144369,VEGUETA,TASA 426,Tradicional,32.0,9.0,19.27,2019,2019-I,3
144345,VEGUETA,TASA 424,Tradicional,36.0,9.0,18.97,2019,2019-I,3
144269,VEGUETA,NUEVA ESPERANZA,Tradicional,78.0,7.0,19.27,2019,2019-I,2
144236,VEGUETA,RIMAC,Tradicional,82.0,8.0,18.55,2019,2019-I,3
144330,VEGUETA,TINO,Tradicional,27.0,12.0,25.08,2019,2019-I,2
144311,VEGUETA,MODESTO 3,Tradicional,19.0,13.0,25.41,2019,2019-I,1
144368,VEGUETA,TASA 36,Tradicional,37.0,13.0,24.79,2019,2019-I,2
144358,VEGUETA,TASA 111,Tradicional,48.0,13.0,28.66,2019,2019-I,2
144312,VEGUETA,HUACHO 9,Tradicional,51.0,13.0,31.93,2019,2019-I,2
144364,VEGUETA,TEO,Tradicional,15.0,14.0,29.69,2019,2019-I,2
144361,VEGUETA,TASA 314,Tradicional,25.0,14.0,30.98,2019,2019-I,2
144366,VEGUETA,SANDRINA,Tradicional,11.0,15.0,30.22,2019,2019-I,1
144365,VEGUETA,JAVIER,Tradicional,13.0,14.0,31.44,2019,2019-I,2
144382,VEGUETA,MODESTO 6,Tradicional,76.0,13.0,23.65,2019,2019-I,1
144371,PISCO NORTE,TASA 418,Tradicional,19.0,12.0,33.96,2019,2019-I,2
144394,PISCO NORTE,TASA 413,Tradicional,14.000000000000002,7.0,26.22,2019,2019-I,1
144419,PISCO NORTE,TASA 43,Frio,66.0,16.0,22.0,2019,2019-I,3
144353,PISCO NORTE,TASA 414,Tradicional,36.0,18.0,29.72,2019,2019-I,3
144356,PISCO SUR,TASA 412,Tradicional,13.0,14.0,24.49,2019,2019-I,1
144352,PISCO SUR,TASA 417,Tradicional,38.0,13.0,24.42,2019,2019-I,3
144389,PISCO SUR,TASA 54,Frio,46.0,13.0,20.1,2019,2019-I,3
144351,PISCO SUR,TASA 415,Tradicional,19.0,14.0,23.32,2019,2019-I,3
144391,PISCO SUR,TASA 45,Frio,53.0,13.0,16.5,2019,2019-I,2
144380,PISCO SUR,TASA 425,Frio,19.0,16.0,15.96,2019,2019-I,2
144499,MALABRIGO,BENDICION DE MI MADRE,Tradicional,96.0,8.0,21.66,2019,2019-I,1
144503,MALABRIGO,MOISES I,Tradicional,51.0,12.0,20.59,2019,2019-I,2
144456,MALABRIGO,TASA 53,Frio,17.0,10.0,18.68,2019,2019-I,4
144424,MALABRIGO,TASA 59,Frio,45.0,10.0,19.31,2019,2019-I,5
144422,MALABRIGO,TASA 56,Frio,47.0,8.0,18.52,2019,2019-I,2
144501,MALABRIGO,MILAGRO DE LUREN III,Tradicional,64.0,6.0,19.17,2019,2019-I,1
144423,MALABRIGO,TASA 55,Frio,84.0,11.0,20.09,2019,2019-I,4
144500,MALABRIGO,TASA 58,Frio,17.0,7.0,19.38,2019,2019-I,1
144444,MALABRIGO,TASA 71,Frio,39.0,15.0,21.752,2019,2019-I,4
144425,MALABRIGO,TASA 52,Frio,37.0,15.0,22.144,2019,2019-I,5
144494,MALABRIGO,TASA 420,Tradicional,9.0,7.0,19.81,2019,2019-I,1
144481,MALABRIGO,TASA 51,Frio,14.000000000000002,11.0,19.73,2019,2019-I,2
144467,MALABRIGO,TASA 419,Frio,24.0,12.0,17.05,2019,2019-I,3
144496,MALABRIGO,TASA 57,Frio,15.0,9.0,24.16,2019,2019-I,2
144434,CHIMBOTE,CRISTO TE AMA YE,Tradicional,28.999999999999996,4.0,18.37,2019,2019-I,1
144431,CHIMBOTE,BENDICION DEL SEÑOR,Tradicional,12.0,5.0,20.55,2019,2019-I,1
144498,CHIMBOTE,DON TEOFILO,Tradicional,6.0,3.0,17.26,2019,2019-I,1
144441,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,18.0,3.0,17.82,2019,2019-I,1
144428,CHIMBOTE,MI BERTITA,Tradicional,16.0,6.0,19.26,2019,2019-I,1
144439,CHIMBOTE,ISABEL II,Tradicional,34.0,9.0,22.49,2019,2019-I,2
144440,CHIMBOTE,MARISOL,Tradicional,34.0,11.0,22.4,2019,2019-I,2
144433,CHIMBOTE,MI JOSUE,Tradicional,13.0,11.0,21.87,2019,2019-I,1
144432,CHIMBOTE,MI JUAN,Tradicional,99.0,5.0,21.52,2019,2019-I,1
144443,CHIMBOTE,MI JESUS SANTOS,Tradicional,98.0,7.0,19.56,2019,2019-I,2
144435,CHIMBOTE,MODESTO,Tradicional,23.0,9.0,21.56,2019,2019-I,1
144415,CHIMBOTE,GUIAME MADRE MIA,Tradicional,47.0,8.0,21.37,2019,2019-I,1
144437,CHIMBOTE,DON TOMAS,Tradicional,76.0,7.0,17.54,2019,2019-I,3
144421,CHIMBOTE,VICTORIA,Tradicional,45.0,7.0,19.04,2019,2019-I,1
144506,CHIMBOTE,PALMAR-2,Tradicional,43.0,5.0,21.81,2019,2019-I,1
144429,CHIMBOTE,ROSA MARIA MS 1,Tradicional,63.0,5.0,16.82,2019,2019-I,1
144473,SAMANCO,MACABI 5,Tradicional,43.0,8.0,21.18,2019,2019-I,3
144471,SAMANCO,MACABI 9,Tradicional,75.0,9.0,18.46,2019,2019-I,2
144474,SAMANCO,MACABI 1,Tradicional,37.0,8.0,19.32,2019,2019-I,2
144472,SAMANCO,MACABI 10,Tradicional,34.0,5.0,20.58,2019,2019-I,1
