Marea,Planta,Bodega,# Calas,TDC-Desc,TVN,año,temporada_año
156378,CHIMBOTE,Tradicional,2,17,23.5,2020,2020-I
156379,CHIMBOTE,Tradicional,2,22,27.1,2020,2020-I
156391,CHIMBOTE,Tradicional,2,18,23.0,2020,2020-I
156389,CHIMBOTE,Tradicional,2,20,22.3,2020,2020-I
156387,CHIMBOTE,Tradicional,2,22,23.6,2020,2020-I
156368,CHIMBOTE,Frio,3,22,33.1,2020,2020-I
156395,CHIMBOTE,Tradicional,2,22,28.0,2020,2020-I
156401,CHIMBOTE,Tradicional,3,19,28.4,2020,2020-I
156286,CHIMBOTE,Tradicional,3,23,27.4,2020,2020-I
156388,CHIMBOTE,Tradicional,2,21,23.6,2020,2020-I
156381,CHIMBOTE,Tradicional,2,13,24.9,2020,2020-I
156383,CHIMBOTE,Tradicional,1,11,26.4,2020,2020-I
156397,CHIMBOTE,Tradicional,2,13,21.8,2020,2020-I
156302,CHIMBOTE,Tradicional,2,13,15.1,2020,2020-I
156392,CHIMBOTE,Tradicional,1,10,21.0,2020,2020-I
156317,CHIMBOTE,Tradicional,2,15,25.6,2020,2020-I
156357,CHIMBOTE,Tradicional,1,12,20.7,2020,2020-I
156398,CHIMBOTE,Tradicional,2,15,20.6,2020,2020-I
156386,CHIMBOTE,Tradicional,2,17,21.8,2020,2020-I
156394,CHIMBOTE,Tradicional,3,20,29.4,2020,2020-I
156385,CHIMBOTE,Tradicional,2,17,26.5,2020,2020-I
156384,CHIMBOTE,Tradicional,2,20,30.9,2020,2020-I
156445,CHIMBOTE,Tradicional,2,20,35.2,2020,2020-I
156426,CHIMBOTE,Tradicional,2,22,40.6,2020,2020-I
156429,CHIMBOTE,Tradicional,2,23,44.3,2020,2020-I
156478,CHIMBOTE,Tradicional,2,24,30.2,2020,2020-I
156425,CHIMBOTE,Tradicional,2,15,21.1,2020,2020-I
156446,CHIMBOTE,Tradicional,1,18,28.7,2020,2020-I
156474,CHIMBOTE,Tradicional,1,18,28.9,2020,2020-I
156423,CHIMBOTE,Tradicional,3,25,31.5,2020,2020-I
156442,CHIMBOTE,Tradicional,1,22,29.6,2020,2020-I
156406,CHIMBOTE,Tradicional,1,23,28.9,2020,2020-I
156443,CHIMBOTE,Tradicional,1,19,24.7,2020,2020-I
156430,CHIMBOTE,Tradicional,2,18,24.7,2020,2020-I
156431,CHIMBOTE,Tradicional,2,22,30.9,2020,2020-I
156408,CHIMBOTE,Tradicional,1,16,23.2,2020,2020-I
156407,CHIMBOTE,Tradicional,1,15,21.7,2020,2020-I
156434,CHIMBOTE,Tradicional,1,13,22.8,2020,2020-I
156458,CHIMBOTE,Tradicional,2,17,22.1,2020,2020-I
156424,CHIMBOTE,Tradicional,2,19,25.4,2020,2020-I
156430,CHIMBOTE,Tradicional,2,14,24.7,2020,2020-I
156459,CHIMBOTE,Tradicional,2,16,20.5,2020,2020-I
156532,CHIMBOTE,Tradicional,2,17,27.2,2020,2020-I
156472,CHIMBOTE,Tradicional,3,21,31.9,2020,2020-I
156521,CHIMBOTE,Tradicional,2,19,29.6,2020,2020-I
156545,CHIMBOTE,Tradicional,2,19,26.0,2020,2020-I
156476,CHIMBOTE,Tradicional,4,20,35.2,2020,2020-I
156534,CHIMBOTE,Tradicional,2,15,25.0,2020,2020-I
156471,CHIMBOTE,Tradicional,2,13,25.9,2020,2020-I
156549,CHIMBOTE,Tradicional,2,14,24.5,2020,2020-I
156490,CHIMBOTE,Tradicional,2,10,22.3,2020,2020-I
156513,CHIMBOTE,Tradicional,3,13,18.7,2020,2020-I
156440,CHIMBOTE,Tradicional,2,24,39.0,2020,2020-I
156512,CHIMBOTE,Tradicional,2,12,20.2,2020,2020-I
156441,CHIMBOTE,Tradicional,1,29,51.9,2020,2020-I
156439,CHIMBOTE,Frio,4,31,47.1,2020,2020-I
156461,CHIMBOTE,Tradicional,2,31,40.4,2020,2020-I
156453,CHIMBOTE,Tradicional,1,25,28.0,2020,2020-I
156460,CHIMBOTE,Tradicional,2,28,44.2,2020,2020-I
156427,CHIMBOTE,Tradicional,2,28,48.0,2020,2020-I
156479,CHIMBOTE,Tradicional,1,25,38.1,2020,2020-I
156548,CHIMBOTE,Tradicional,1,29,33.3,2020,2020-I
156586,CHIMBOTE,Tradicional,3,31,39.6,2020,2020-I
156520,CHIMBOTE,Tradicional,4,32,51.3,2020,2020-I
156522,CHIMBOTE,Tradicional,2,32,47.3,2020,2020-I
156516,CHIMBOTE,Tradicional,2,34,48.5,2020,2020-I
156484,CHIMBOTE,Tradicional,2,31,61.1,2020,2020-I
156517,CHIMBOTE,Tradicional,4,37,69.8,2020,2020-I
156523,CHIMBOTE,Tradicional,3,38,52.3,2020,2020-I
156496,CHIMBOTE,Tradicional,3,35,64.1,2020,2020-I
156515,CHIMBOTE,Tradicional,2,43,77.7,2020,2020-I
156533,CHIMBOTE,Tradicional,3,37,75.2,2020,2020-I
156531,CHIMBOTE,Tradicional,2,36,61.4,2020,2020-I
156546,CHIMBOTE,Tradicional,2,44,50.9,2020,2020-I
156514,CHIMBOTE,Tradicional,2,42,52.8,2020,2020-I
156578,CHIMBOTE,Tradicional,2,39,57.5,2020,2020-I
156690,CHIMBOTE,Tradicional,3,19,21.4,2020,2020-I
156638,CHIMBOTE,Frio,5,19,16.1,2020,2020-I
156667,CHIMBOTE,Tradicional,2,15,18.9,2020,2020-I
156692,CHIMBOTE,Tradicional,2,15,19.5,2020,2020-I
156670,CHIMBOTE,Tradicional,1,12,18.4,2020,2020-I
156677,CHIMBOTE,Tradicional,1,13,21.1,2020,2020-I
156746,CHIMBOTE,Tradicional,1,12,20.5,2020,2020-I
156723,CHIMBOTE,Tradicional,1,14,19.4,2020,2020-I
156678,CHIMBOTE,Tradicional,1,12,18.4,2020,2020-I
156672,CHIMBOTE,Tradicional,1,13,18.5,2020,2020-I
156679,CHIMBOTE,Tradicional,1,12,17.3,2020,2020-I
156688,CHIMBOTE,Tradicional,1,14,20.9,2020,2020-I
156722,CHIMBOTE,Tradicional,1,12,16.4,2020,2020-I
156736,CHIMBOTE,Tradicional,1,14,17.5,2020,2020-I
156689,CHIMBOTE,Tradicional,1,14,20.1,2020,2020-I
156675,CHIMBOTE,Tradicional,2,12,18.0,2020,2020-I
156741,CHIMBOTE,Tradicional,1,11,20.3,2020,2020-I
156715,CHIMBOTE,Tradicional,2,13,16.6,2020,2020-I
156676,CHIMBOTE,Tradicional,1,11,19.9,2020,2020-I
156673,CHIMBOTE,Tradicional,1,10,16.9,2020,2020-I
156647,CHIMBOTE,Frio,3,31,15.0,2020,2020-I
156674,CHIMBOTE,Tradicional,1,7,17.3,2020,2020-I
156714,CHIMBOTE,Tradicional,1,7,15.9,2020,2020-I
156682,CHIMBOTE,Tradicional,1,6,18.8,2020,2020-I
156680,CHIMBOTE,Tradicional,1,6,25.3,2020,2020-I
156716,CHIMBOTE,Tradicional,1,6,22.4,2020,2020-I
156704,CHIMBOTE,Tradicional,2,22,25.4,2020,2020-I
156763,CHIMBOTE,Tradicional,3,22,22.9,2020,2020-I
156699,CHIMBOTE,Tradicional,4,21,22.8,2020,2020-I
156761,CHIMBOTE,Tradicional,2,21,22.1,2020,2020-I
156799,CHIMBOTE,Tradicional,4,19,20.2,2020,2020-I
156786,CHIMBOTE,Tradicional,2,19,27.1,2020,2020-I
156800,CHIMBOTE,Tradicional,2,17,18.8,2020,2020-I
156781,CHIMBOTE,Tradicional,2,16,19.8,2020,2020-I
